nodesNumber, voteP, GasUsed, agents
5, 0.5, 56123, 3
5, 0.5, 55299, 3
5, 0.5, 55289, 3
5, 0.5, 56097, 3
5, 0.5, 55299, 3
5, 0.5, 56097, 3
5, 0.5, 56097, 3
5, 0.5, 55299, 3
5, 0.5, 55299, 3
5, 0.5, 56113, 3
5, 0.5, 56097, 3
5, 0.5, 55299, 3
5, 0.5, 56097, 3
5, 0.5, 55273, 3
5, 0.5, 56113, 3
5, 0.5, 56097, 3
5, 0.5, 55299, 3
5, 0.5, 56097, 3
5, 0.5, 56097, 3
5, 0.5, 56097, 3
5, 0.5, 55273, 3
5, 0.5, 56097, 3
5, 0.5, 55299, 3
5, 0.5, 55299, 3
5, 0.5, 56921, 3
5, 0.5, 56097, 3
5, 0.5, 56097, 3
5, 0.5, 55299, 3
5, 0.5, 55299, 3
5, 0.5, 56097, 3
5, 0.5, 56113, 3
5, 0.5, 55299, 3
5, 0.5, 56921, 3
5, 0.5, 55299, 3
5, 0.5, 56097, 3
5, 0.5, 55299, 3
5, 0.5, 55299, 3
5, 0.5, 55299, 3
5, 0.5, 57745, 3
5, 0.5, 56921, 3
5, 0.5, 55299, 3
5, 0.5, 56097, 3
5, 0.5, 55299, 3
5, 0.5, 56921, 3
5, 0.5, 55299, 3
5, 0.5, 56921, 3
5, 0.5, 55299, 3
5, 0.5, 56113, 3
5, 0.5, 56097, 3
5, 0.5, 55299, 3
5, 0.5, 54475, 3
5, 0.5, 55299, 3
5, 0.5, 56113, 3
5, 0.5, 55273, 3
5, 0.5, 55299, 3
5, 0.5, 56097, 3
5, 0.5, 55289, 3
5, 0.5, 55299, 3
5, 0.5, 56097, 3
5, 0.5, 56097, 3
10, 0.5, 89733, 3
10, 0.5, 87277, 3
10, 0.5, 94993, 3
10, 0.5, 87287, 3
10, 0.5, 88111, 3
10, 0.5, 88111, 3
10, 0.5, 88111, 3
10, 0.5, 88909, 3
10, 0.5, 88909, 3
10, 0.5, 88909, 3
10, 0.5, 88909, 3
10, 0.5, 88909, 3
10, 0.5, 88111, 3
10, 0.5, 87287, 3
10, 0.5, 87287, 3
10, 0.5, 88111, 3
10, 0.5, 85639, 3
10, 0.5, 88085, 3
10, 0.5, 88085, 3
10, 0.5, 88909, 3
10, 0.5, 88085, 3
10, 0.5, 87287, 3
10, 0.5, 85639, 3
10, 0.5, 88909, 3
10, 0.5, 88909, 3
10, 0.5, 88909, 3
10, 0.5, 86463, 3
10, 0.5, 88909, 3
10, 0.5, 86463, 3
10, 0.5, 88085, 3
10, 0.5, 90557, 3
10, 0.5, 86463, 3
10, 0.5, 88085, 3
10, 0.5, 88909, 3
10, 0.5, 88111, 3
10, 0.5, 86463, 3
10, 0.5, 87287, 3
10, 0.5, 89733, 3
10, 0.5, 88101, 3
10, 0.5, 88909, 3
10, 0.5, 89733, 3
10, 0.5, 87287, 3
10, 0.5, 95003, 3
10, 0.5, 88909, 3
10, 0.5, 88085, 3
10, 0.5, 88909, 3
10, 0.5, 86463, 3
10, 0.5, 87287, 3
10, 0.5, 87277, 3
10, 0.5, 88111, 3
10, 0.5, 88909, 3
10, 0.5, 86463, 3
10, 0.5, 86463, 3
10, 0.5, 88101, 3
10, 0.5, 88111, 3
10, 0.5, 90557, 3
10, 0.5, 89733, 3
10, 0.5, 88085, 3
10, 0.5, 88101, 3
10, 0.5, 88085, 3
15, 0.5, 119275, 3
15, 0.5, 121721, 3
15, 0.5, 119275, 3
15, 0.5, 120089, 3
15, 0.5, 121721, 3
15, 0.5, 120089, 3
15, 0.5, 119275, 3
15, 0.5, 120099, 3
15, 0.5, 121737, 3
15, 0.5, 120099, 3
15, 0.5, 120923, 3
15, 0.5, 120099, 3
15, 0.5, 119275, 3
15, 0.5, 120089, 3
15, 0.5, 122545, 3
15, 0.5, 119275, 3
15, 0.5, 120089, 3
15, 0.5, 119275, 3
15, 0.5, 120099, 3
15, 0.5, 120897, 3
15, 0.5, 122545, 3
15, 0.5, 121721, 3
15, 0.5, 120923, 3
15, 0.5, 122545, 3
15, 0.5, 121721, 3
15, 0.5, 120099, 3
15, 0.5, 120923, 3
15, 0.5, 121721, 3
15, 0.5, 120099, 3
15, 0.5, 120897, 3
15, 0.5, 120099, 3
15, 0.5, 117627, 3
15, 0.5, 121721, 3
15, 0.5, 119275, 3
15, 0.5, 119275, 3
15, 0.5, 121737, 3
15, 0.5, 122545, 3
15, 0.5, 120099, 3
15, 0.5, 120897, 3
15, 0.5, 119275, 3
15, 0.5, 121721, 3
15, 0.5, 121721, 3
15, 0.5, 117627, 3
15, 0.5, 121721, 3
15, 0.5, 119275, 3
15, 0.5, 120099, 3
15, 0.5, 121721, 3
15, 0.5, 121721, 3
15, 0.5, 120913, 3
15, 0.5, 121721, 3
15, 0.5, 119275, 3
15, 0.5, 119275, 3
15, 0.5, 118451, 3
15, 0.5, 120099, 3
15, 0.5, 122545, 3
15, 0.5, 120089, 3
15, 0.5, 121721, 3
15, 0.5, 122545, 3
15, 0.5, 122545, 3
15, 0.5, 120073, 3
20, 0.5, 151263, 3
20, 0.5, 154533, 3
20, 0.5, 151263, 3
20, 0.5, 152087, 3
20, 0.5, 152087, 3
20, 0.5, 153709, 3
20, 0.5, 153709, 3
20, 0.5, 153709, 3
20, 0.5, 154533, 3
20, 0.5, 153709, 3
20, 0.5, 152087, 3
20, 0.5, 156181, 3
20, 0.5, 152077, 3
20, 0.5, 152885, 3
20, 0.5, 153709, 3
20, 0.5, 153709, 3
20, 0.5, 152087, 3
20, 0.5, 153709, 3
20, 0.5, 152087, 3
20, 0.5, 151263, 3
20, 0.5, 151263, 3
20, 0.5, 152901, 3
20, 0.5, 153725, 3
20, 0.5, 155357, 3
20, 0.5, 153709, 3
20, 0.5, 150439, 3
20, 0.5, 152901, 3
20, 0.5, 153709, 3
20, 0.5, 151263, 3
20, 0.5, 152885, 3
20, 0.5, 154533, 3
20, 0.5, 151263, 3
20, 0.5, 152087, 3
20, 0.5, 153709, 3
20, 0.5, 150439, 3
20, 0.5, 153709, 3
20, 0.5, 152911, 3
20, 0.5, 154533, 3
20, 0.5, 153725, 3
20, 0.5, 153709, 3
20, 0.5, 152087, 3
20, 0.5, 153709, 3
20, 0.5, 152087, 3
20, 0.5, 152077, 3
20, 0.5, 154533, 3
20, 0.5, 152885, 3
20, 0.5, 153709, 3
20, 0.5, 156181, 3
20, 0.5, 151263, 3
20, 0.5, 152885, 3
20, 0.5, 152087, 3
20, 0.5, 153709, 3
20, 0.5, 153709, 3
20, 0.5, 152087, 3
20, 0.5, 153709, 3
20, 0.5, 154533, 3
20, 0.5, 152087, 3
20, 0.5, 152885, 3
20, 0.5, 152885, 3
20, 0.5, 204725, 3
